,image,image_size,bg_type,inference_time,pred_cls,pred_lbl,object_count,f_S,f_0,delta_f,f_T,f_N,method,aucI_pred,aucD_pred,aucI_r,aucD_r,aucI_adj,aucD_adj,aucI_adj_r,aucD_adj_r,aucI_clip,aucI_clipr,aucD_clip,aucD_clipr,threshold,best_point,max_IoU,auc_IoU,time_load,time_exp,time_aucI,time_aucD,time_auc_IoU,time_total
1725,460494,"(426, 640, 3)",gray,9.707212448120117,41,cup,1,0.9524136781692505,0.0,0.9524136781692505,0.9524137377738953,200,LIME-100,0.17951176797341506,0.20112640203721166,0.1884808797774474,0.2111754657113084,0.17904125091055753,0.20084258187458387,0.18798685383720484,0.21087746478048033,0.1792765094419863,0.18823386680732612,0.2009844919558978,0.21102646524589438,-7.918324733338581e-08,0.8388204225352113,0.07342805201825783,0.0406854007752656,0.12477612495422363,12.314094066619873,1.238001823425293,1.195237636566162,0.38506364822387695,15.257173299789429
1726,460494,"(426, 640, 3)",gray,9.707212448120117,41,cup,1,0.9524136781692505,0.0,0.9524136781692505,0.95241379737854,200,LIME-500,0.17400603764701386,0.112460209951548,0.18270006157565055,0.11807916300374999,0.17381444092973314,0.11213528064709209,0.18249889193511257,0.11773799895717675,0.17391023928837349,0.18259947675538155,0.11229774529932003,0.11790858098046336,6.749076659160211e-06,0.17085534037558686,0.08259173576048227,0.053364155309978574,0.12477612495422363,22.014598846435547,1.2265551090240479,1.2185566425323486,0.38520264625549316,24.96968936920166
1727,460494,"(426, 640, 3)",gray,9.707212448120117,41,cup,1,0.9524136781692505,0.0,0.9524136781692505,0.9524136781692505,200,LIME-1000,0.05395437657981763,0.13250256956089282,0.05665014879199326,0.13912291748643515,0.05395437657981763,0.13250101705927816,0.05665014879199326,0.13912128741575236,0.05395437657981763,0.05665014879199326,0.1325017933100855,0.13912210245109374,5.066415265906441e-06,0.26519219483568074,0.10314253785413417,0.06352060191199946,0.12477612495422363,35.8549280166626,1.2691981792449951,1.2552030086517334,0.380540132522583,38.88464546203613
1728,541055,"(360, 640, 3)",gray,8.093833923339844,0,person,5,0.7288052439689636,0.0,0.7288052439689636,0.7288052439689635,15,BPT-100,0.6695798517069004,0.19428449884393353,0.9187363253047813,0.2665794469121674,0.6337260596856423,0.1890406206118253,0.8695410261244357,0.25938427608223363,0.6516529556962714,0.8941386757146086,0.19166255972787943,0.2629818614972005,3.347016832629931e-06,0.34269965277777775,0.478104931540046,0.2767151019721052,0.1099402904510498,1.9576458930969238,0.3261604309082031,0.3685030937194824,0.3328378200531006,3.0950875282287598
1729,541055,"(360, 640, 3)",gray,8.093833923339844,0,person,5,0.7288052439689636,0.0,0.7288052439689636,0.7288052439689637,58,BPT-500,0.6045672597415331,0.33069426446997874,0.8295319836739249,0.4537484701249782,0.6024233730046804,0.33069426446997874,0.8265903380771156,0.4537484701249782,0.6034953163731067,0.8280611608755203,0.33069426446997874,0.4537484701249782,5.7843874407379014e-06,0.19346788194444445,0.4204296716659911,0.2542158115181904,0.1099402904510498,6.723070383071899,0.809359073638916,0.7960834503173828,0.3284485340118408,8.766901731491089
1730,541055,"(360, 640, 3)",gray,8.093833923339844,0,person,5,0.7288052439689636,0.0,0.7288052439689636,0.7288052439689635,89,BPT-1000,0.5583200005932787,0.3910051478829054,0.7660757180515776,0.5365015566484541,0.5513663636473292,0.3747645686311363,0.7565345724526775,0.5142177169173822,0.554843182120304,0.7613051452521274,0.38288485825702084,0.5253596367829182,6.926169937685483e-06,0.16923611111111111,0.4318233394431352,0.25350313218896475,0.1099402904510498,12.714189529418945,0.9460833072662354,0.8309786319732666,0.3172440528869629,14.91843581199646
1731,541055,"(360, 640, 3)",gray,8.093833923339844,0,person,5,0.7288052439689636,0.0,0.7288052439689636,0.7288052439689636,14,AA-100,0.6253319019451737,0.35117111541330814,0.8580233294421846,0.4818449350074419,0.49727428052574396,0.35117111541330814,0.6823143557772212,0.4818449350074419,0.5613030912354589,0.7701688426097029,0.35117111541330814,0.4818449350074419,2.678004315861308e-06,0.3124956597222222,0.4795678178661007,0.28142882933301705,0.1099402904510498,1.183298110961914,0.30832648277282715,0.3101077079772949,0.32166361808776855,2.2333362102508545
1732,541055,"(360, 640, 3)",gray,8.093833923339844,0,person,5,0.7288052439689636,0.0,0.7288052439689636,0.7288052439689636,55,AA-500,0.5143943424336612,0.31827961665112525,0.7058049412931597,0.4367142241153787,0.49180912924930453,0.31819128815550357,0.674815574282899,0.4365930278199999,0.5031017358414829,0.6903102577880293,0.3182354524033144,0.43665362596768936,5.2759682294313175e-06,0.17968315972222224,0.456199658497042,0.2584199808860208,0.1099402904510498,5.717414617538452,0.8128857612609863,0.8605818748474121,0.3426380157470703,7.843460559844971
1733,541055,"(360, 640, 3)",gray,8.093833923339844,0,person,5,0.7288052439689636,0.0,0.7288052439689636,0.7288052439689638,86,AA-1000,0.4106829187781033,0.34855865353407955,0.5635015968622643,0.4782603533913692,0.40250347227168587,0.3484867365565151,0.5522785073275713,0.4781616754823398,0.40659319552489454,0.5578900520949178,0.3485226950452973,0.47821101443685443,5.209512409560419e-06,0.19546875,0.49889369234435105,0.28126031065619556,0.1099402904510498,11.496766567230225,0.7831006050109863,0.8019540309906006,0.30649781227111816,13.49825930595398
1734,541055,"(360, 640, 3)",gray,8.093833923339844,0,person,5,0.7288052439689636,0.0,0.7288052439689636,0.7288055419921875,166,LIME-100,0.3390853488430407,0.46821933068031085,0.4652619498131391,0.6424478069483405,0.3385090388513506,0.4536674525046126,0.46447118987218217,0.6224810486187065,0.3387971938471957,0.46486656984266067,0.46094339159246167,0.6324644277835235,8.847900952329865e-07,0.5477387152777777,0.18897366720062952,0.12615318843121287,0.1099402904510498,10.566367626190186,1.197270393371582,1.2297520637512207,0.305034875869751,13.408365249633789
